episode_id,time,agent_id,observation_shape,selected_action,target_node,reward_received
0,71,7,[7],4,20,-1.0
0,71,8,[7],1,3,-0.05000000074505806
0,71,9,[7],0,9,-0.0
0,71,10,[7],4,20,-0.07500000298023224
0,71,11,[7],1,1,-0.22499999403953552
0,71,12,[7],3,17,-0.0
0,71,13,[7],1,3,-0.0
0,71,14,[7],4,20,-0.0
0,71,15,[7],4,20,-0.0
0,71,16,[7],0,16,-0.30000001192092896
0,71,17,[7],2,7,-0.0
0,71,18,[7],4,20,-0.07500000298023224
0,71,19,[7],4,20,-1.0
0,72,0,[7],2,10,-0.0
0,72,1,[7],0,1,-1.0
0,72,2,[7],4,20,-1.0
0,72,3,[7],3,18,-0.2750000059604645
0,72,4,[7],0,4,-0.0
0,72,5,[7],1,0,-0.05000000074505806
0,72,6,[7],2,11,-0.0
0,72,7,[7],4,20,-0.0
0,72,8,[7],2,13,-1.0
0,72,9,[7],0,9,-0.0
0,72,10,[7],1,0,-1.225000023841858
0,72,11,[7],2,6,-0.0
0,72,12,[7],1,2,-0.0
0,72,13,[7],2,8,-0.0
0,72,14,[7],3,19,-0.0
0,72,15,[7],0,15,-0.0
0,72,16,[7],3,11,-0.0
0,72,17,[7],2,7,-0.0
0,72,18,[7],3,13,-1.0
0,72,19,[7],2,9,-0.0
0,73,0,[7],0,0,-1.0750000476837158
0,73,1,[7],2,11,-0.07500000298023224
0,73,2,[7],1,7,-0.0
0,73,3,[7],3,18,-0.0
0,73,4,[7],3,19,-0.32499998807907104
0,73,5,[7],1,0,-0.0
0,73,6,[7],2,11,-1.0
0,73,7,[7],4,20,-1.0
0,73,8,[7],4,20,-0.0
0,73,9,[7],1,4,-0.05000000074505806
0,73,10,[7],3,15,-0.0
0,73,11,[7],0,11,-1.0
0,73,12,[7],0,12,-1.0
0,73,13,[7],1,3,-1.0
0,73,14,[7],4,20,-0.0
0,73,15,[7],4,20,-0.0
0,73,16,[7],1,1,-0.0
0,73,17,[7],3,12,-0.0
0,73,18,[7],3,13,-0.0
0,73,19,[7],2,9,-1.0
0,74,0,[7],3,15,-0.0
0,74,1,[7],2,11,-0.0
0,74,2,[7],4,20,-0.0
0,74,3,[7],0,3,-0.0
0,74,4,[7],1,9,-0.0
0,74,5,[7],0,5,-1.0
0,74,6,[7],1,1,-0.22499999403953552
0,74,7,[7],2,12,-0.0
0,74,8,[7],0,8,-0.22499999403953552
0,74,9,[7],0,9,-1.0
0,74,10,[7],0,10,-0.0
0,74,11,[7],1,1,-0.0
0,74,12,[7],4,20,-1.0
0,74,13,[7],2,8,-0.0
0,74,14,[7],4,20,-0.0
0,74,15,[7],1,0,-0.20000000298023224
0,74,16,[7],1,1,-0.0
0,74,17,[7],2,7,-0.0
0,74,18,[7],0,18,-0.0
0,74,19,[7],2,9,-1.0
0,75,0,[7],2,10,-0.0
0,75,1,[7],2,11,-0.10000000149011612
0,75,2,[7],0,2,-1.0
0,75,3,[7],4,20,-0.0
0,75,4,[7],3,19,-0.0
0,75,5,[7],1,0,-0.0
0,75,6,[7],3,16,-0.0
0,75,7,[7],0,7,-0.0
0,75,8,[7],3,18,-0.0
0,75,9,[7],4,20,-0.0
0,75,10,[7],2,5,-0.0
0,75,11,[7],2,6,-1.0
0,75,12,[7],2,7,-0.07500000298023224
0,75,13,[7],2,8,-1.0
0,75,14,[7],3,19,-1.0
0,75,15,[7],0,15,-0.0
0,75,16,[7],0,16,-0.0
0,75,17,[7],3,12,-0.0
0,75,18,[7],1,3,-0.0
0,75,19,[7],2,9,-0.0
0,76,0,[7],2,10,-0.0
